Record_ID,Date,Day,Day_Name,Week_Number,Month,Month_Number,Analysis_Period,State,Platform,Official_Handle_Model,Conversation_Count,Official_Post_Count,Likes_Modelled,Comments_Modelled,Shares_Modelled,Views_Modelled,Topic,News_or_Content_Driver,Positive_Percent,Neutral_Percent,Negative_Percent,Dominant_Sentiment,Geographic_Attribution_Method,Geo_Confidence_Level,Data_Type
DC2026-00001,2026-07-01,1,Wednesday,27,July,7,July 2026,Andhra Pradesh,X (Twitter),@adgpi,96,1,492,31,57,1513,Recruitment and Agniveer Outreach,Routine modelled public conversation around Indian Army content,75.5,20.3,4.2,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00002,2026-07-01,1,Wednesday,27,July,7,July 2026,Andhra Pradesh,Instagram,@indianarmy.adgpi,104,4,1330,80,21,4487,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,64.2,25.6,10.2,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00003,2026-07-01,1,Wednesday,27,July,7,July 2026,Andhra Pradesh,Facebook,Indian Army,62,2,336,40,21,2444,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,78.6,16.4,5.0,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00004,2026-07-01,1,Wednesday,27,July,7,July 2026,Arunachal Pradesh,X (Twitter),@adgpi,180,4,680,127,125,3504,Humanitarian Assistance and Disaster Relief,Routine modelled public conversation around Indian Army content,76.1,15.4,8.5,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00005,2026-07-01,1,Wednesday,27,July,7,July 2026,Arunachal Pradesh,Instagram,@indianarmy.adgpi,213,2,2829,151,39,13657,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,69.0,25.6,5.4,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00006,2026-07-01,1,Wednesday,27,July,7,July 2026,Arunachal Pradesh,Facebook,Indian Army,165,3,735,80,69,5615,Technology and Modernisation,Routine modelled public conversation around Indian Army content,80.2,8.9,10.9,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00007,2026-07-01,1,Wednesday,27,July,7,July 2026,Assam,X (Twitter),@adgpi,207,4,418,104,62,4543,Border Security and Strategic Deployment,Routine modelled public conversation around Indian Army content,65.4,25.8,8.8,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00008,2026-07-01,1,Wednesday,27,July,7,July 2026,Assam,Instagram,@indianarmy.adgpi,266,4,2463,141,37,11245,Technology and Modernisation,Routine modelled public conversation around Indian Army content,80.1,15.2,4.7,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00009,2026-07-01,1,Wednesday,27,July,7,July 2026,Assam,Facebook,Indian Army,199,1,1107,83,56,3009,"Gallantry, Heritage and National Pride",Routine modelled public conversation around Indian Army content,62.7,26.7,10.6,Neutral,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
DC2026-00010,2026-07-01,1,Wednesday,27,July,7,July 2026,Bihar,X (Twitter),@adgpi,134,3,585,96,45,1173,Technology and Modernisation,Routine modelled public conversation around Indian Army content,68.4,16.9,14.7,Positive,Project model: state-level conversation attribution,Modelled,"ACADEMIC PROJECT DATASET — SYNTHETIC / MODELLED, NOT OFFICIAL PLATFORM ANALYTICS"
